id	Uniprot	Symbol	iBAQ.Mrpl4_1	iBAQ.Mrpl4_2	iBAQ.Mrpl4_3	iBAQ.Kgd4_1	iBAQ.Kgd4_2	iBAQ.Kgd4_3	logFC	t.ord	t.mod	p.ord	p.mod	q.ord	q.mod	df.r	df.0	s2.0	s2	s2.post	categ_Ord	categ_Mod	NegLogPvalMod	NegLogPvalOrd
168	P04803	MSW1	39865	0	0	192510	92133	112860	-0.559920729	-0.785432649	-0.930911448	0.476113166	0.383157141	0.108123353	0.087291394	4	2.936089478	0.243430199	0.762300931	0.542659748	Not Significant	Not Significant	0.416623076	0.322289809
169	P04840	POR1	67632000	59464000	57655000	305450000	530150000	275330000	-2.529038231	-8.383272523	-7.265034643	0.001107601	0.000175316	0.001251097	0.000233696	4	2.936089478	0.243430199	0.136513273	0.181771867	Significant	Significant	3.756178117	2.955616721
172	P05626	ATP4	919310	3711600	2746700	2418000	4632600	2978600	-0.610635612	-0.909588932	-1.065234464	0.414490416	0.322440381	0.0953405	0.075097303	4	2.936089478	0.243430199	0.676028774	0.492907127	Not Significant	Not Significant	0.491550575	0.382485507
182	P06168	ILV5	22835000	16092000	25123000	49273000	59070000	42686000	-1.250128907	-5.257054705	-3.927642828	0.006267037	0.005797493	0.003249362	0.002405417	4	2.936089478	0.243430199	0.084823436	0.151962657	Not Significant	Not Significant	2.236759794	2.202937762
185	P06208	LEU4	33307000	50343000	38287000	74465000	104630000	67992000	-1.014893644	-3.936847919	-3.102292575	0.017004778	0.017468839	0.006844489	0.005730043	4	2.936089478	0.243430199	0.099686202	0.160533923	Not Significant	Not Significant	1.757735958	1.769429021
189	P07143	CYT1	1323900	2064700	2478200	233680	433190	283860	2.627029822	6.990438685	6.779744872	0.002203387	0.000268639	0.001863496	0.000290181	4	2.936089478	0.243430199	0.211842164	0.225213574	Significant	Significant	3.570830877	2.656909312
191	P07246	ADH3	2199900	2190700	1863100	4320100	6589200	3709000	-1.185221101	-4.554757587	-3.610755962	0.010380044	0.008751247	0.004974173	0.003283074	4	2.936089478	0.243430199	0.101568602	0.161619491	Not Significant	Not Significant	2.057930037	1.983800824
193	P07251	ATP1	36885000	36490000	48587000	180950000	307480000	191280000	-2.448816086	-8.814268971	-7.278034757	0.000914174	0.000173377	0.001145787	0.000233696	4	2.936089478	0.243430199	0.115779321	0.169814726	Significant	Significant	3.76100748	3.038971051
195	P07253	CBP6	84801000	132360000	118030000	1876700	1158300	1993600	6.073919856	19.35110763	17.14448506	4.20E-05	6.19E-07	0.000379868	9.82E-06	4	2.936089478	0.243430199	0.147780699	0.188269723	Significant	Significant	6.208396913	4.376364577
196	P07255	COX9	1660200	4905500	4727100	1770600	2483000	1594400	0.819125475	1.496326387	1.666774148	0.20890482	0.139892801	0.053069468	0.035483431	4	2.936089478	0.243430199	0.449510101	0.362275206	Not Significant	Not Significant	0.854204633	0.680051541
197	P07256	COR1	7532900	8814200	7072900	37050000	46157000	40882000	-2.405978729	-18.28060644	-8.577118508	5.27E-05	6.14E-05	0.000389056	0.000165245	4	2.936089478	0.243430199	0.025983259	0.118029891	Significant	Significant	4.211563013	4.278425709
198	P07257	QCR2	13829000	12638000	12672000	44612000	67130000	60996000	-2.121998286	-11.59281419	-7.152472514	0.00031634	0.000193164	0.000714647	0.000237292	4	2.936089478	0.243430199	0.050257811	0.132028875	Significant	Significant	3.714073385	3.49984631
200	P07266	MRS1	0	174380	75627	148480	494590	30800	-0.083059461	-0.068324286	-0.086550358	0.948806561	0.933474428	0.192361745	0.187445504	4	2.936089478	0.243430199	2.216763087	1.381439098	Not Significant	Not Significant	0.029897575	0.022822321
201	P07275	PUT2	1167600	2130000	1725400	6540100	9876700	8412500	-2.328181992	-7.573129787	-6.6329971	0.001629975	0.000307072	0.001592148	0.000310296	4	2.936089478	0.243430199	0.141766726	0.184801502	Significant	Significant	3.512759967	2.787819113
203	P07342	ILV2	2547400	1900100	2303800	10829000	14258000	10022000	-2.372170013	-11.97930544	-7.850272212	0.0002783	0.000107891	0.000714647	0.000179752	4	2.936089478	0.243430199	0.058819267	0.136966213	Significant	Significant	3.967013987	3.555486399
205	P07806	VAS1	32887	57168	5768.4	341210	499600	545650	-4.355408399	-4.276588054	-5.333553079	0.012882511	0.001115918	0.005738624	0.000653395	4	2.936089478	0.243430199	1.555801517	1.00026664	Significant	Significant	2.952367871	1.889999488
206	P08067	RIP1	1287500	1852900	1872800	8518700	12389000	7343400	-2.479505005	-8.660130475	-7.280973557	0.000978142	0.000172943	0.001145787	0.000233696	4	2.936089478	0.243430199	0.12296241	0.173957168	Significant	Significant	3.762098253	3.009598057
207	P08417	FUM1	3289400	5137100	4104100	6649100	8549700	5068100	-0.684877789	-2.392832684	-2.011381843	0.074936902	0.084569079	0.022047173	0.022739603	4	2.936089478	0.243430199	0.12288327	0.173911529	Not Significant	Not Significant	1.072788398	1.125304263
211	P08468	PET111	0	117520	0	0	65656	35433	1.779152136	3.752097383	3.994695467	0.019910816	0.005324028	0.007560293	0.002269082	4	2.936089478	0.243430199	0.337263411	0.297543233	Significant	Significant	2.27375967	1.700910951
212	P08525	QCR8	919260	1115600	793460	0	928300	664460	1.334335059	1.209673896	1.520244789	0.293005611	0.172642661	0.071560241	0.042751839	4	2.936089478	0.243430199	1.825090628	1.155564008	Not Significant	Not Significant	0.76285188	0.533124063
215	P09440	MIS1	312000	255040	302650	1284100	1987900	2047700	-2.587290493	-10.9764957	-8.1516997	0.000391417	8.50E-05	0.000744093	0.000165245	4	2.936089478	0.243430199	0.083340139	0.151107249	Significant	Significant	4.07063274	3.407360072
216	P09457	ATP5	23754000	19553000	23405000	81260000	92831000	69290000	-1.862473989	-12.27506163	-6.505098705	0.000252977	0.000345664	0.000714647	0.000327615	4	2.936089478	0.243430199	0.034532206	0.122960016	Significant	Significant	3.461345253	3.596918448
217	P09624	LPD1	5241100	9581900	7096500	1962400	3600100	2747800	1.399451978	3.922973217	3.712636598	0.017204518	0.007653569	0.006844489	0.002975825	4	2.936089478	0.243430199	0.190887097	0.213128916	Not Significant	Not Significant	2.116136009	1.76435749
224	P0CI40	SAL1	288640	361790	610530	46787	0	0	2.500020235	5.688628219	5.891302086	0.004715823	0.000625731	0.002900246	0.000412659	4	2.936089478	0.243430199	0.289709812	0.270119366	Significant	Significant	3.203612097	2.326442528
225	P0CS90	SSC1	7081700	9748800	7375700	23903000	36976000	32140000	-1.933944909	-8.215059952	-6.095667437	0.001196686	0.00051108	0.001328008	0.000359771	4	2.936089478	0.243430199	0.083130038	0.150986086	Significant	Significant	3.291511166	2.922019943
246	P10507	MAS1	38886	96629	124610	480200	743170	582030	-2.931050151	-5.411746073	-6.009777769	0.005647897	0.000556121	0.003057506	0.000382873	4	2.936089478	0.243430199	0.440010395	0.356796785	Significant	Significant	3.254830631	2.248113194
248	P10662	MRP1	609400	775590	173980	2897500	4215300	2539900	-2.853131594	-4.056560878	-4.795497164	0.01539225	0.002027267	0.006447937	0.001058417	4	2.936089478	0.243430199	0.742025566	0.53096707	Significant	Significant	2.69308911	1.812697905
249	P10663	MRP2	1013100	915790	1975100	2720400	4303600	2586700	-1.348894844	-3.218882338	-3.271844565	0.032314811	0.013817275	0.011293243	0.00465411	4	2.936089478	0.243430199	0.263413024	0.254954171	Not Significant	Not Significant	1.8595776	1.490598376
251	P10834	PET54	0	0	70131	314930	329190	491120	-2.901804155	-5.650249266	-6.175407636	0.004833117	0.000472899	0.002900246	0.000358071	4	2.936089478	0.243430199	0.395632755	0.331204474	Significant	Significant	3.325232059	2.315772684
252	P10849	MTF2	286760	194110	366910	1406200	3111100	2337600	-2.989298157	-6.973835149	-7.152810117	0.002223104	0.000193108	0.001863496	0.000237292	4	2.936089478	0.243430199	0.275604544	0.261984945	Significant	Significant	3.71420045	2.653040203
254	P11914	MAS2	1348000	2375100	1885000	8058300	16194000	12143000	-2.678847568	-7.118285232	-6.908187726	0.002058569	0.000239403	0.001860214	0.000263137	4	2.936089478	0.243430199	0.212440097	0.225558398	Significant	Significant	3.620870108	2.686434605
257	P12686	MRP13	474180	393350	933610	2854000	5056300	3194400	-2.682776083	-5.894061965	-6.184498234	0.004144093	0.000468753	0.002702423	0.000358071	4	2.936089478	0.243430199	0.31076401	0.282261192	Significant	Significant	3.329056158	2.382570553
258	P12687	MRP7	5932000	7869400	5953100	10388000	9809000	7158300	-0.464051906	-2.16053445	-1.503199263	0.09683109	0.176880861	0.027841188	0.043628906	4	2.936089478	0.243430199	0.069199346	0.142952341	Not Significant	Not Significant	0.752319156	1.01398518
259	P12695	LAT1	1890700	1444400	1167600	3600000	4090000	2627400	-1.200265566	-4.340172572	-3.573709913	0.012251279	0.009191796	0.005620818	0.003407539	4	2.936089478	0.243430199	0.114718103	0.169202727	Not Significant	Not Significant	2.036599644	1.911818581
266	P14063	MRPL31	3851400	5682800	4824400	4981900	3199200	6071300	0.041973909	0.131987034	0.117772245	0.901367354	0.909585992	0.184518098	0.184421895	4	2.936089478	0.243430199	0.151700687	0.190530355	Not Significant	Not Significant	0.041156237	0.045098176
267	P14066	CBS1	53411	619420	0	341590	321270	661460	-1.132711127	-1.052965098	-1.320278272	0.351759435	0.228640456	0.083964461	0.055955182	4	2.936089478	0.243430199	1.735807817	1.104075162	Not Significant	Not Significant	0.640846922	0.453754245
270	P14540	FBA1	0	123520	0	0	0	97918	-0.369368645	-0.741948339	-0.802927437	0.499319805	0.44865105	0.111606112	0.100387087	4	2.936089478	0.243430199	0.371761129	0.317437855	Not Significant	Not Significant	0.348091311	0.301621208
272	P14832	CPR1	0	521820	0	120030	152410	143600	0.614304273	0.713362488	0.871945589	0.51503204	0.412400821	0.114712708	0.093275363	4	2.936089478	0.243430199	1.112340615	0.744525474	Not Significant	Not Significant	0.384680478	0.288165753
274	P15179	MSD1	65178	52473	76308	360790	28582	135940	-0.808432589	-0.750847422	-0.941541089	0.494502185	0.378054626	0.110921244	0.086443271	4	2.936089478	0.243430199	1.738903558	1.105860457	Not Significant	Not Significant	0.422445443	0.305831785
275	P15202	CTA1	0	54431	56212	5688500	7264800	5631400	-6.460201278	-18.05261532	-17.11060167	5.54E-05	6.27E-07	0.000389056	9.82E-06	4	2.936089478	0.243430199	0.192089268	0.213822201	Significant	Significant	6.202559975	4.256841515
276	P15424	MSS116	2944600	2918100	3902000	5571800	9067400	4648500	-0.936094296	-2.934323378	-2.622744674	0.042629601	0.034553183	0.013899692	0.010163321	4	2.936089478	0.243430199	0.152656222	0.191081406	Not Significant	Not Significant	1.461511934	1.370288729
279	P16387	PDA1	1509900	1580800	1559700	3883600	6127600	3746800	-1.527333097	-6.661891425	-4.853957148	0.002637455	0.001896243	0.002059661	0.001006791	4	2.936089478	0.243430199	0.078843099	0.148513834	Significant	Significant	2.722106013	2.578814871
280	P16451	PDX1	0	0	24008	44484	612530	449270	-2.087717966	-1.397362772	-1.792861761	0.234831625	0.116483068	0.059417202	0.03053459	4	2.936089478	0.243430199	3.34823999	2.033954846	Not Significant	Not Significant	0.933737199	0.629243417
282	P16547	OM45	7879100	4471500	8643600	29970000	42187000	43580000	-2.499782011	-7.271631511	-6.757398225	0.001900027	0.000274126	0.001767448	0.000291088	4	2.936089478	0.243430199	0.177268598	0.205275212	Significant	Significant	3.562050438	2.72124013
287	P17505	MDH1	23763000	23776000	24046000	82917000	121790000	80594000	-1.968214735	-10.24240091	-6.560991038	0.000512197	0.000328166	0.000875652	0.000321248	4	2.936089478	0.243430199	0.055390167	0.134988673	Significant	Significant	3.483907006	3.290562586
288	P17558	PET123	7542100	8238100	9648500	13589000	19141000	17915000	-0.986158412	-5.37093882	-3.321719154	0.005803673	0.012905877	0.003111118	0.004417934	4	2.936089478	0.243430199	0.050568983	0.132208325	Not Significant	Not Significant	1.889212494	2.236297067
289	P18239	PET9	35297000	43280000	33334000	36754000	40130000	30694000	0.056567141	0.350646192	0.195518286	0.743541264	0.850591454	0.157828139	0.173020473	4	2.936089478	0.243430199	0.039037452	0.125558163	Not Significant	Not Significant	0.070278985	0.128694925
290	P18496	ATP10	176110	258300	506410	1193200	665060	1538900	-1.909415231	-3.340349458	-3.765494893	0.028826395	0.007143809	0.010186686	0.002832696	4	2.936089478	0.243430199	0.490126536	0.385698454	Significant	Significant	2.14607016	1.540209662
291	P18544	ARG8	101960	166910	96069	756580	1133300	725390	-2.857163619	-8.780379754	-7.931624547	0.000927783	0.000101088	0.001145787	0.000175924	4	2.936089478	0.243430199	0.158830858	0.194642281	Significant	Significant	3.995299346	3.032553694
292	P18900	COQ1	1870800	1358400	1462300	10064000	5785200	3457600	-1.919822239	-4.115950202	-4.356898408	0.014660778	0.003399854	0.006223954	0.001601533	4	2.936089478	0.243430199	0.326342076	0.291244967	Significant	Significant	2.46853976	1.83384298
294	P19262	KGD2	2792400	2593000	2678600	196210000	302890000	236590000	-6.489181068	-35.26424239	-21.84712274	3.86E-06	1.18E-07	9.35E-05	3.71E-06	4	2.936089478	0.243430199	0.050792774	0.132337384	Significant	Significant	6.926653842	5.41351162
295	P19414	ACO1	20204000	20326000	20223000	71302000	110420000	88134000	-2.128202173	-11.68063643	-7.180648246	0.000307155	0.000188512	0.000714647	0.000237292	4	2.936089478	0.243430199	0.049794802	0.13176186	Significant	Significant	3.724661722	3.512642979
297	P19882	HSP60	15231000	15631000	15345000	25422000	29891000	26534000	-0.821480495	-11.60700138	-3.070323678	0.000314833	0.018266277	0.000714647	0.005929525	4	2.936089478	0.243430199	0.007513559	0.107378528	Not Significant	Not Significant	1.738349956	3.501919779
298	P19955	YMR31	7928600	6856200	6823900	839430000	983180000	883490000	-6.968858708	-71.26932207	-25.58159584	2.32E-07	4.01E-08	1.47E-05	2.51E-06	4	2.936089478	0.243430199	0.014341987	0.111316441	Significant	Significant	7.396810462	6.634029063
300	P20084	MRPL33	2017000	1761700	2221100	13275000	10375000	18292000	-2.772788868	-10.83478999	-8.497885897	0.000411718	6.52E-05	0.000744093	0.000165245	4	2.936089478	0.243430199	0.098238985	0.159699322	Significant	Significant	4.185768428	3.385400166
301	P20967	KGD1	4730000	5216900	5419700	103400000	140730000	1.15E+08	-4.537040855	-31.74374134	-15.99317378	5.87E-06	9.92E-07	9.35E-05	9.91E-06	4	2.936089478	0.243430199	0.030642233	0.120716692	Significant	Significant	6.003591797	5.231349018
302	P21375	OSM1	13361	0	0	18733	211400	0	-0.665140228	-0.423081465	-0.544164277	0.69399127	0.60337278	0.149824215	0.13125638	4	2.936089478	0.243430199	3.707402077	2.241081405	Not Significant	Not Significant	0.219414286	0.158645992
303	P21560	CBP3	15003000	20303000	15192000	714650	727800	728000	4.525702317	31.68385646	15.95463823	5.91E-06	1.01E-06	9.35E-05	9.91E-06	4	2.936089478	0.243430199	0.030604631	0.120695007	Significant	Significant	5.996495771	5.22807955
304	P21592	COX10	0	563220	638910	0	866470	0	-0.028057691	-0.017953947	-0.02308585	0.986535444	0.982231887	0.198106061	0.195357762	4	2.936089478	0.243430199	3.663323094	2.215661328	Not Significant	Not Significant	0.007785971	0.005887307
305	P21771	MRPS28	3683600	5668900	5695300	7307900	13941000	12972000	-1.158030332	-3.207337974	-3.052994114	0.032671606	0.018714677	0.01131673	0.006017664	4	2.936089478	0.243430199	0.195542731	0.215813792	Not Significant	Not Significant	1.727817668	1.485829521
306	P21801	SDH2	2701400	3097200	3497700	13270000	30980000	14831000	-2.567609099	-6.441589025	-6.412560179	0.002988384	0.000376992	0.002267468	0.000327615	4	2.936089478	0.243430199	0.238321402	0.240483987	Significant	Significant	3.423668224	2.524563628
308	P21954	IDP1	4438800	4705600	7861300	21392000	30654000	22808000	-2.169718213	-7.070413317	-6.186460774	0.002111379	0.000467863	0.001863496	0.000358071	4	2.936089478	0.243430199	0.141256462	0.184507235	Significant	Significant	3.329881191	2.675433792
